Name,Cellphone Number,Company Email,Site,Youtube Link,Territory Covered,Lines of Business,Manufacturers Represented,Address Line 1,Address Line 2,Locality,Administrative Area,Postal Code,Country,Contact name,Description,Industries Served,Type of Equipment,Sales After Service,Fax,Primary Email Contact,Primary Number Contact
Aditmaq Aditivos y Maquinaria Cia. Ltda.,+593 (98) 3827-270,info@aditmaq.com,https://www.aditmaq.com/,,Ecuador,Packaging Equipment,"3M, Handtmann, Hato, Treif, Inotec, JBT Woftec, MAJA, Ruhle, Andher, Gaser, Laska, CMT, Talsa, Magurit, Inoxnisge, Schroeter, Eloma, Unitherm, Steritech, Solupack, Ulma, Ak by Ramon",Centro Comercial Plaza Moderna,Bypass Cumbaya Oficina 5,Cumbaya,,,Ecuador,"Diego Coronel, Director Comercial","We are a company committed to providing technological and innovative solutions, through an extensive range of high quality products and services that contribute to the success of our customers and represented in various markets, respecting health and the environment.","Pharmaceutical/medical, Textiles/apparel, Cosmetics/toiletries, Bakery/snack, Meat/poultry/seafood, Petroleum, Soap/household Chemical","Dairy, Meat Machinery, Packaging",Yes,,diego.coronel@aditmaq.com,
,,,,,,,,,,,,,,,,,,,,,
"Advanced Process Systems, Inc.",+(780) 433-0408,info@advancedpro.ca,http://www.advancedpro.ca,,Canada,Packaging EquipmentProcessing Equipment,"Admix, AGC, Alfa Laval, Ampco Pumps Company, ABB, Burkert, Conflow, CSE, Cybertech, DSO, Endress + Hauser, GEA, Murzan, Rodger, Samson, SEW Eurodrive, Wika, Xolertic","4215 Roper Road, NW",,Edmonton,AB,T6B 3S5,Canada,"Dan Schoettle, General Manager","Advanced Process Systems, Inc Supports And Services The Food And Beverage Industry In Western Canada. They Provide Consultation, Design, Equipment, Installations & Service All Aspects Of Industrial Food Process Plants.",Food and beverageCosmetics,"Processing Machinery And Equipment--supply Pumps, Valves, Plate Heat Exchangers, Sanitary Fittings, Tank Equipment And Filters And Strainers.",Yes,,dan@advancedpro.ca,
AG3 Solutions,+55 (11) 2371-2707,ana.flavia@ag3solutions.com.br,https://ag3solutions.com.br/,,Brazil,Packaging EquipmentPackaging MaterialsProcessing Equipment,"Optel Vision, Brevetti Cea, Dara, SIAT MJ Mallais Group., AM Instruments, Heino Ilsemann, Newman, Neosensor, TOMI.","Chucri Zaidan, 1550 - 27 andar – sala 2711",Brooklin Novo,São Paulo,SP,04711130,Brazil,"Alexandre Figaro, Director","Founded in 2006, originally as ASF Consultoria, AG3 Solutions is a consulting and sales representation company that serves the pharmaceutical, veterinary, cosmetic, food and health products industries. It is among the largest consulting companies in providing services in the country and operates in the main segments",,,Yes,,alexandre@ag3solutions.com.br,
Agro Technical Consultant,+202 (100) 605-9263,info@agrotech-eg.com,http://www.agrotech-eg.com,,Egypt,Packaging Equipment,"Imeco, Telm, Protech, Tensiofix, K-UTEC, Donau Carbon, Root Group, Toyota Tsusho, Xiamen Topushing, Chemateur AB, Wilson, Aicrov, TNJ.",agrotech-eg.com,,Giza,,,Egypt,"Ahmed Zaki, General Manager","Agro Technical Consultant is an Egyptian based company that provides consultancy and advisory services to the agricultural and industrial sectors to both Egyptian and international customers in Egypt since 1980s. We provide solutions with due diligence through our full-time/part-time expertise and partners with proven Q/A systems, combined with an active management approach. Our services are tailored to achieve each client’s objectives and goals.",Packaging,"3.0 Capping, Over-capping, Lidding Machines (uses A Closure), 4.0 Cartoning Machines, 5.0 Case / Tray Sealing Machines, 9.0 Cleaning, Sterizlizing, Cooling And Drying Machines, 10.0 Closing, Seaming & Sealing Machines, 16.0 Filling Machines - Liquid / Gas / Viscous Product, 17.0 Form / Fill / Seal Machines - Horizontal, 18.0 Form / Fill / Seal Machines - Vertical, 19.0 Inspecting, Detecting And Checkweighing Machines, 20.0 Labeling Machines (product Identification, 25.0 Specialty Packaging Machines, 26.0 Wrapping Machines, 29.0 Decorating / Marking / Printing Machines, 30.0 Packaging Containers, 40.0 Packaging Components",,,ahmed@agrotech-eg.com,
"Airnetics Ingenieria Neumatica, S.A. De C.V.",+52 (55) 5362-4403,ventas@airnetics.com.mx,http://www.airnetics.com.mx/page007.html,,Mexico,Packaging Equipment,"Hankison International, Kaeser, Master, Lester",Viveros De La Cascada No 87,Local 3,Tlalnepantla,Méx.,54080,Mexico,"Guillermo Lopez Olivera, Administrador","Airnetics is a company founded in 1989 by Mr. Guillermo Lopez-Olivera B who after 22 years of working in the transnational Atlas Copco and after having occupied all levels and positions for a Mexican, becomes independent to serve the industry the experience gained in the field of compressed air.","Hardware/tools, Paper/printing, Pharmaceutical/medical, Textiles/apparel, Cosmetics/toiletries, Bakery/snack, Confection/candy, Fruit/vegetable, Meat/poultry/seafood, Crafts, Fresh, Petroleum, So","Air Dryers, Air Filters, Air Compressors.",No,+52 (55) 5361-3006,guillermo.los@airnetics.com.mx,
Akyu (Malaysa) Sdn Bhd,+60 (3) 8066-8896,info@akyu.com.my,http://www.akyu.com.my,,Malaysia,Packaging Equipment,"Orved (italy), Supervac (austria), Chung San (taiwan), M&p (uk), Astro (czechoslovakia)","No: 15, Jalan Bp 4/1,",West Malaysa,Puchong,Selangor,47120,Malaysia,"Tony Lim, MD","With over 36 years of experience in the industry and proven track record, we have served a wide range of satisfied clientele throughout Peninsula and East Malaysia, Singapore, Vietnam and The Philippines. AKYU provides services like sales, marketing, technical support and consultancy for the packaging industry including full line production. Always focusing on client’s needs, meeting their requirements is our priority.We offer our customers the service of sourcing and procuring all components for your packaging needs.","Hardware/tools, Pharmaceutical/medical, Bakery/snack, Confection/candy, Fruit/vegetable, Meat/poultry/seafood, Fresh, Soap/household Chemical, Grain/mill/cereal, Packaging Machinery &","Packaging Machinery, Weighing Machines, Container Sealers, Vacuum Packaging Machines, Filling Machines, Food Processing Machines, Supermarket Materials.",Yes,+60 (3) 8066-8892,,+60 (12 ) 202-9733
Al-Nibras For Science and Technology Ltd,+356 (21) 472-478 / 9,info@al-nibras.com.mt,http://www.al-nibras.com.mt,,Malta,Packaging Equipment,"Thermo Scientific, Sigma-aldrich, Isolab, Milestone, Radwag, Leica Geosystems",2nd Floor; Reach Building; Triq Ghajn Ta Nofs Triq;,,Birkirkara,,BKR3000,Malta,"Mr. Roderick Abela, General Manager","Established in Libya since 1991, Al-Nibras for Science & Technology extended its services to Malta in 2005. The company supplies a diverse range of scientific products including analytical instrumentation, chemicals and labware to pharmaceutical and petro-chemical companies, research centres as well as governmental & educational institutions.","Paper/printing, Pharmaceutical/medical, Bakery/snack, Confection/candy, Fruit/vegetable, Meat/poultry/seafood, Fresh, Petroleum, Grain/mill/cereal, Packaging Machinery & Related Supplies/service, Processi",Laboratory And PharmaceuticalEquipments And Consumables,Yes,+356 (21) 472-480,rabela@al-nibras.com.mt,+356 9927-4162
Alcaman Ltda.,+56 (2) 2242-1979,alcaman@alcaman.cl,http://www.alcaman.cl,,Chile,Packaging Equipment,Wipotec-OCS,Av Kennedy 5600 0f 1415,Vitacura,Santiago,Región Metropolitana,,Chile,"Oliver Goyeneche, Partner",Machinery representatives in Chile,"Pharmaceutical/medical, Bakery/snack, Confection/candy, Meat/poultry/seafood, Fresh, Packaging Machinery & Related Supplies/service, Processing Machinery & Related Supplies/service","Processing Machinery For Confection/chocolate Industry, Snacks And Cereal; Extrusion, Cold Tunnels, Mixers, Mills, Vertical And Horizontal F/f/s, Sachet F/f/s, Flowpack, Bag F/s, Bottle/jar F/s, Tube F/s, Blister Machines, Inspection Systems, Syringe Fill",Yes,+56 (22) 342-1979,,
Alex E. Jones & Associates Ltd.,+905 847-0166,info@alexejones.ca,http://www.alexejones.ca,https://www.youtube.com/channel/UC8iHrULgGZccY6Tm1eLsi4A/featured,Canada,Packaging EquipmentPackaging MaterialsSystems IntegratorProcessing EquipmentAutomation Equipment & Components,"BW Flexible Systems - Hayssen, Schib, Yamato, Sandiacre ,Rose Forgrove, Diagraph Coding and Marking systems, Hartness, Kingsley Coders",785 Pacific Road Unit 8,,Oakville,ON,L6L6M3,Canada,"Gerry Cellucci, Vice President","Our founders were driven and passionate. And in 1977 set out to make a difference.Alex E. Jones & Associates Limited, sales agency was formed.Leaders in finding world class machinery and offering local sales and service.First to offer many technologies that are considered standard today.The drive and passion of our founders is contagious and persists here at Alex E Jones. today.Since inception we have experienced steady growth & today have offices in Oakville Ontario, Montreal Quebec and Edmonton Alberta.Acknowledged as a leading source of automation solutions, always committed to meet our customer demand in product, quality, price competitiveness & promptness in delivery.SpecialtiesBeverage Lines, Snack Food Packaging Lines, Robotic Solutions",,,Yes,+905 847-0123,gcellucci@alexejones.ca,905-339-8464
ALEXANDRIS ROMANIA,+40 (21) 300-9553,office@alexandris.ro,https://alexandris.ro/,,Romania,,"Schiavetti, Visam, Unitech, Motovario, Lenze, Megadyne, Sati, Iwis, Emerson, Mario Ferri, Baumanflex, Rosta, Piazzalunga, Sampla Belting, Glummilabor, MRF Muscleleflex, Chemfab, Tecnofer, Rollex System, Alexandris, Tranzpack","Soseaua Bucuresti-Ploiesti 135, Sector 1",,Bucharest,,015016,Romania,"Dragos Madalin-Constatntin, Technical Sles Manager",1. COMPLETE CONVEYORS SYSTEMS 2. CONVEYORS SISTEMS COMPONENTS 3.MOTOREDUCERS 4.SITE DIN INOX 5.TRANSMISION BELTS 6.CONVEYOR BELTS 7.ENDLESS SCREW 8.INVERTERS 9. MECHANICAL VARIATORS,,,,+40 (21) 300-9554,,
Alfa Group,+56 (2) 2889-9000,contacto@alfagroup.cl,https://alfagroup.cl/en,,Chile,Packaging EquipmentProcessing Equipment,"Gesame, Cato, Poss, Nock, Komet","Av. Las Americas 700, Cerrillos",,Cerrillos,Región Metropolitana,,Chile,"Pedro Angulo Fulgeri, Product Manager","In the 50s, a visionary Ernesto Berkovits Pollak founds Alfa Chilena S.A. with the idea of ​​delivering quality products to the meat and hospital industry. In the address July 10 # 1042 and with only 8 workers begins to solidify one of the leading companies as supplier of the Food Industry in our country. After the years, the plant changes direction and with them increase their workers, gradually positioning themselves in the national market.","Packaging Machinery & Related Supplies/service, Processing Machinery & Related Supplies/service","Metal Detector, Pitters, Dicers & Slicers, Vacuum Filling, Pasteurizing",Yes,,,
"Alfamaq Mexicana, SA De CV",+52 (55) 5426-4137,info@alfamaq.com,http://www.alfamaq.com,https://www.youtube.com/channel/UC-6g-O6lCxF29vyWuYB2dEg,Mexico,Packaging Equipment,"Digital Design, Squid Inc, Ebs, Reiner",1a. Cerrada De Jacarandas No 14,Col El Vergel,Mexico City,CDMX,09880,Mexico,Jeronimo Diaz,"We are a Mexican company, dedicated for more than 20 years to the sale, maintenance and supply of industrial inkjet printers for the coding of any type of commercial and industrial product. Printing of expiration dates, batches, bar codes and any other alphanumeric or graphic information.","Pharmaceutical/medical, Cosmetics/toiletries, Fruit/vegetable, Meat/poultry/seafood, Soap/household Chemical, Packaging Machinery & Related Supplies/service",Ink Jet Printing Systems,Yes,,jdiaz@alfamaq.mx,
Alfatechnics,+32 (4) 7384-4302,info@alfatechnics.com,http://www.alfatechnics.com,https://www.alfatechnics.com/videogalerij/,BelgiumLuxembourgNetherlands,Packaging EquipmentSystems IntegratorAutomation Equipment & Components,"Dörr Netherlands, Freeform Denmark, Farbal France, Factory Control Netherlands.",Lindenlaan 30B,,Kasterlee,,2460,Belgium,"Benny Verbist, Account Manager","Alfatechnics is a technical trading company specializing in blister packaging machines, shrink packing machines, robotised and specially engineered most of machines for production, assembly, alignment, grouping and general product handling and represents some very strong, exclusive dealer specialized packaging machinery manufacturers.More than 30 years of experience with packaging machines and automation of product handling are at your disposal!",Packaging Machinery & Related Supplies/service,"Denesting machines, positioning and lidding machines, manual blister form, fill, seal machines, robotised mechamical assembly machines",No,,info@alfatechnics.com,
Alimentos Tecnicos de Centroamerica S.A.,+506 2251 4496,info@alitecsa.com,https://alitecsa.com/,https://www.youtube.com/channel/UC-r8ibC10MAdgw5AAmQZbYQ,Costa Rica,Packaging EquipmentPackaging Materials,"Brother, Cryovac","avenida 66, diagonal 66, calle 57",San Francisco de Dos Rios,San Jose,San Jose,,Costa Rica,Oscar Ugalde,"Sale Of Flexible Packaging Materials For The Food Industry, In Addition To Representing Manufacturers Of Process Equipment, Filling And Packaging. In The Case Of Packaging Material We Have Available, Laminated, Metallized, Vacuum Packing, Doypack Bags With Or Without Valve, Preformed Pouches For Coffee With And Without Valve Bags For Packing Vegetables, Fish, Shrink Labels , Etc. We Supply The Following Machienry: Fillers (liquids, Powders, Etc.) Vacuum Packaging Machines, Vegetable Cutting Machines, Thermo Forming, Flow Pack Machines, Sealers, Labelers, Bunchers, Coding, Cartoning, Palletizing, Shrink Tunnels Etc.","Meat/poultry/seafood, Produce Fresh, Packaging Machinery & Related Supplies/","Our Company Central Food Technical Sa With Over 10 Years Of Market Presence Has As Main Activity The Sale Of Flexible Packaging Materials For The Food Industry, In Addition To Representing Manufacturers Of Process Equipment, Filling And Packaging. In The Case Of Packaging Material We Have Available, Laminated, Metallized, Polypropylene Bags, Vacuum Packing, Doypack Bags With Or Without Valve, Preformed Pouches For Coffee With And Without Valve Bags For Packing Vegetables, Fish, Shrink Labels, Etc. We Supply The Following Machienry: Fillers (liquids, Powders, Etc.) Vacuum Packaging Machines, Vegetable Cutting Machines, Thermo Forming, Flow Pack Machines, Sealers, Labelers, Bunchers, Cartoning, Palletizing, Shrink Tunnels Etc.",Yes,+506 8829-4496,ougalde@alitecsa.com,
"Allied Industries, Pty. Ltd.",+61 (2) 9437-0388,processpack@alliedindustries.com.au,http://www.alliedindustries.com.au,,AustraliaNew Zealand,Packaging EquipmentProcessing Equipment,"Packaging Machinery:Nuova Euromec, Cermex, Loesch Pack, Hastamat,Chocolate Processing:Sollich, Chocotech, MFG Tray Company, Confitech, Dumoulin, Bauermeister, WDS, bv Vormenfabriek,Wenger, Hildebrand Industry, Werner & Pfleiderer, Wachtel, Gema/C.E.L, OKA",unit 12,54 Dickson Avenue,Artarmon,NSW,1570,Australia,"Martin Crumpton, Director","Allied Industries was established in 1983 to represent manufacturers of specialist process technology and packaging systems to the food and healthcare industries in Australia and New Zealand.From flow wrap to chocolate block wrapping machines, Allied Industries in Sydney, Australia is a leading distributor of internationally manufactured packaging equipment.","Packaging Machinery & Related Supplies/service, Processing Machinery & Related Supplies/service","Chocolate processing, moulding, enrobing and coating equipment and lines; complete confectionery and candy cooking systems; integrated chocolate enrobing, tempering and cooling lines; complete forming",Yes,+61 (2) 9437-0399,martin.crumpton@alliedindustries.com.au,
Allmark,+32 56 669 732,info@allmark.be,http://www.allmark.be,,Belgium,Packaging Equipment,"Toshiba, Sato, Zebra Technologies, Jeka, Datalogic, Epson, Toshiba, BarTender, Pikt-O-Norm, GoDEX, Afina Label, ProPen, Opticon, Brother, Evolus, Safescan, Honeywell, Jeka, Pikt O Norm, GoDEX, Propen",Grote Leiestraat 117,,Anzegem,,8570,Belgium,"Gino Lauwers, Managert","Allmark has a wide range of industrial and technical labels. Our products can be used in several industry sectors such as power supply, electrical engineering, , automotive, electronics, appliance construction among others.",Packaging Machinery & Related Supplies/services,"Barcode Scanners, Logistics Software.",Yes,,info@allmark.be,
Allpack Packaging Technologies,+61 (8) 9244-1515,contact@allpacktech.com.au,http://www.allpacktech.com.au,https://www.youtube.com/channel/UC3kXn6GHFYr24OL83SXfJ9Q?view_as=subscriber,Australia,Packaging EquipmentPackaging Materials,"Fischbein, Guru,Yao Han,Adam, Allpack Packaging Technologies, Fishchbein, Guru, Hanato, Itatools, New Reach, Newlong, Packway, Starview, Taylor, Wu-hsing, Yao, Youngsun.",Unit 17/15 Carbon Court,,Osborne Park,WA,6017,Australia,"Matt Schembri, General Manager","Allpack has over 27 years’ experience in the industry, specializing in many areas including bag sewing equipment, pallet wrappers, carton sealers, strapping machines & systems, bag sealers, blister, skin and clam shell equipment, bag weighing, etc. Allpack also provides technical service & spares.",Packaging Machinery & Related Supplies/service,"Bag closing equipment, bag sealing equipment, carton sealing equipment, display style packaging, industrial weighing, vaccuum sealers, pallet wrapping machines, strapping machines & systems",Yes,,matt@allpacktech.com.au,
